"Refid","Bibliography","User","Ris Code","Level","Study ES List_k","effect_intervention_group","effect_comparison_group","effect_outcome","effect_outcome_type","effect_report_number","effect_page","effect_type","effect_timing","effect_favored","effect_icc","effect_intervention_baseline_participants","effect_comparison_baseline_participants","effect_intervention_followup_participants","effect_comparison_followup_participants","effect_intervention_baseline_classrooms","effect_comparison_baseline_classrooms","effect_intervention_followup_classrooms","effect_comparison_followup_classrooms","effect_intervention_baseline_schools","effect_comparison_baseline_schoools","effect_intervention_followup_schools","effect_comparison_followup_schools","effect_intervention_baseline_mean","effect_intervention_baseline_sd","effect_intervention_followup_mean","effect_intervention_followup_sd","effect_comparison_baseline_mean","effect_comparison_baseline_sd","effect_comparison_followup_mean","effect_comparison_followup_sd","effect_intervention_n_successful","effect_intervention_n_unsuccessful","effect_comparison_n_successful","effect_comparison_n_unsuccessful","effect_size_type -> NA - I entered the necessary information above","effect_size_type -> Means and Standard Errors (SEs)","effect_size_type -> Independent t-test","effect_size_type -> One-way ANOVA F-test (with df = 1)","effect_size_type -> Chi-squared test statistic (with df = 1)","effect_size_type -> Unstandardized regression coefficient for treatment dummy indicator","effect_size_type -> Standardized regression coefficient for treatment dummy indicator","effect_size_type -> Author-reported odds ratio","effect_size_type -> Author-reported standardized mean difference","effect_size_type -> Insufficient information to calculate effect size","effect_r_squared","effect_SE_intervention_mean","effect_SE_intervention_se","effect_SE_comparison_mean","effect_SE_comparison_se","effect_t_test","effect_f_test","effect_chi_square","effect_unstandardized_coefficient","effect_unstandardized_sd","effect_standardized_coefficient","effect_standardized_sd","effect_or","effect_or_ci_lower","effect_or_ci_upper","effect_smd","effect_smd_ci_lower","effect_smd_ci_upper","effect_notes"
10114,"Collins, et al 2014 ",spgrant,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous-0","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Post-test,0,Intervention,-999,,,104,140,,,4,7,,,4,7,,,9.89,6.54,,,13.19,8.44,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous-26","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Post-test,26,Intervention,-999,,,66,28,,,3,3,,,3,3,,,9.83,7.65,,,12.19,9.20,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10283,87,Pretest,,Intervention,-999,81,143,,,4,7,,,4,7,,,27.76,15.75,,,28.64,15.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous-0","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10283,87,Post-test,0,Intervention,-999,,,82,140,,,4,7,,,4,7,,,16.98,11.28,,,25.94,14.18,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous-26","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10283,87,Post-test,26,Intervention,-999,,,67,28,,,4,3,,,4,3,,,11.70,8.44,,,22.47,13.42,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Pretest,,Comparison,-999,81,143,,,4,7,,,4,7,,,14.19,9.62,,,13.97,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous-0","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Post-test,0,Comparison,-999,,,82,140,,,4,7,,,4,7,,,13.33,8.45,,,13.19,8.44,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous-26","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Post-test,26,Comparison,-999,,,67,28,,,4,3,,,4,3,,,12.34,9.08,,,12.19,9.20,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling-Continuous","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling",Continuous,10283,87,Pretest,,Comparison,-999,106,143,,,5,7,,,5,7,,,98.14,14.97,,,101.30,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling-Continuous-0","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling",Continuous,10283,87,Post-test,0,Comparison,-999,,,104,140,,,5,7,,,5,7,,,101.13,14.44,,,105.62,15.73,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Post-test,0,Intervention,-999,,,100,135,,,5,7,,,5,7,,,,,,,,,99,1,116,19,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-26","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Post-test,26,Intervention,-999,,,64,33,,,4,3,,,4,3,,,,,,,,,63,1,30,3,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling-Continuous","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling",Continuous,10283,87,Pretest,,Comparison,-999,81,143,,,4,7,,,4,7,,,99.53,15.23,,,101.30,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling-Continuous-0","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling",Continuous,10283,87,Post-test,0,Comparison,-999,,,82,140,,,4,7,,,4,7,,,100.40,16.77,,,105.62,15.73,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Pretest,,Intervention,-999,79,135,,,4,7,,,4,7,,,,,,,,,,,67,12,111,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Post-test,0,Intervention,-999,,,79,135,,,4,7,,,4,7,,,,,,,,,76,3,116,19,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",spgrant,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-26","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Post-test,26,Intervention,-999,,,65,33,,,4,3,,,4,3,,,,,,,,,65,0,30,3,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10283,87,Pretest,,Intervention,-999,81,143,,,4,7,,,4,7,,,27.76,15.75,,,28.64,15.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous-0","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10283,87,Post-test,0,Intervention,-999,,,82,140,,,4,7,,,4,7,,,16.98,11.28,,,25.94,14.18,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous-26","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10283,87,Post-test,26,Intervention,-999,,,67,28,,,4,3,,,4,3,,,11.70,8.44,,,22.47,13.42,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10283,87,Pretest,,Intervention,-999,106,143,,,5,7,,,5,7,,,27.73,15.61,,,28.64,15.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous-0","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Post-test,0,Intervention,-999,,,104,140,,,4,7,,,4,7,,,9.89,6.54,,,13.19,8.44,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous-26","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Post-test,26,Intervention,-999,,,66,28,,,3,3,,,3,3,,,9.83,7.65,,,12.19,9.20,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous-26","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10283,87,Post-test,26,Intervention,-999,,,66,28,,,3,3,,,3,3,,,13.27,10.47,,,22.47,13.42,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Pretest,,Comparison,-999,81,143,,,4,7,,,4,7,,,14.19,9.62,,,13.97,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous-0","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Post-test,0,Comparison,-999,,,82,140,,,4,7,,,4,7,,,13.33,8.45,,,13.19,8.44,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous-0","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10283,87,Post-test,0,Intervention,-999,,,104,140,,,5,7,,,5,7,,,14.84,10.20,,,25.94,14.18,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous-26","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Post-test,26,Comparison,-999,,,67,28,,,4,3,,,4,3,,,12.34,9.08,,,12.19,9.20,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent-Continuous","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"2-Spence Children&rsquo;s Anxiety Scale-SCAS - Parent",Continuous,10283,87,Pretest,,Intervention,-999,106,143,,,5,7,,,5,7,,,13.00,7.33,,,13.97,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling-Continuous","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling",Continuous,10283,87,Pretest,,Comparison,-999,106,143,,,5,7,,,5,7,,,98.14,14.97,,,101.30,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling-Continuous-0","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling",Continuous,10283,87,Post-test,0,Comparison,-999,,,104,140,,,5,7,,,5,7,,,101.13,14.44,,,105.62,15.73,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Pretest,,Comparison,-999,100,135,,,5,7,,,5,7,,,,,,,,,,,81,19,111,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Post-test,0,Intervention,-999,,,100,135,,,5,7,,,5,7,,,,,,,,,99,1,116,19,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-26","1-Lessons for Living: Think well, do well (Psychologist-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Post-test,26,Intervention,-999,,,64,33,,,4,3,,,4,3,,,,,,,,,63,1,30,3,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling-Continuous","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling",Continuous,10283,87,Pretest,,Comparison,-999,81,143,,,4,7,,,4,7,,,99.53,15.23,,,101.30,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling-Continuous-0","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"3-Wechsler Individual Achievement Test (second edition)-WIAT-II: Spelling",Continuous,10283,87,Post-test,0,Comparison,-999,,,82,140,,,4,7,,,4,7,,,100.40,16.77,,,105.62,15.73,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Pretest,,Intervention,-999,79,135,,,4,7,,,4,7,,,,,,,,,,,67,12,111,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-26","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Post-test,26,Intervention,-999,,,65,33,,,4,3,,,4,3,,,,,,,,,65,0,30,3,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"Collins, et al 2014 ",mschweer,,8,"2-Lessons for Living: Think well, do well (Teacher-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0","2-Lessons for Living: Think well, do well (Teacher-led)",3-TAU,"4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff",Categorical,10283,95,Post-test,0,Intervention,-999,,,79,135,,,4,7,,,4,7,,,,,,,,,76,3,116,19,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-4-Social Anxiety Scale for Adolescents (SAS-A)-SAS-A-Continuous","1-e-couch Anxiety and Worry program ",2-Waitlist,"4-Social Anxiety Scale for Adolescents (SAS-A)-SAS-A",Continuous,10120,4,Pretest,,Intervention,-999,127,98,,,6,6,,,3,3,,,43.86,14.46,,,44.03,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-4-Social Anxiety Scale for Adolescents (SAS-A)-SAS-A-Continuous-0","1-e-couch Anxiety and Worry program ",2-Waitlist,"4-Social Anxiety Scale for Adolescents (SAS-A)-SAS-A",Continuous,10120,4,Post-test,0,Intervention,-999,,,78,71,,,6,6,,,3,3,,,40.44,14.31,,,41.95,14.98,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-4-Social Anxiety Scale for Adolescents (SAS-A)-SAS-A-Continuous-13","1-e-couch Anxiety and Worry program ",2-Waitlist,"4-Social Anxiety Scale for Adolescents (SAS-A)-SAS-A",Continuous,10120,4,Post-test,13,Comparison,-999,,,67,61,,,6,6,,,3,3,,,41.51,14.15,,,37.69,17.88,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-1-GAD-7-GAD-7: Cutoff-Categorical-13","1-e-couch Anxiety and Worry program ",2-Waitlist,"1-GAD-7-GAD-7: Cutoff",Categorical,10120,4,Post-test,13,Comparison,-999,,,79,52,,,6,6,,,3,3,,,,,,,,,67,12,45,7,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-1-GAD-7-GAD-7: Cutoff-Categorical","1-e-couch Anxiety and Worry program ",2-Waitlist,"1-GAD-7-GAD-7: Cutoff",Categorical,10120,4,Pretest,,Intervention,-999,114,78,,,6,6,,,3,3,,,,,,,,,,,100,14,68,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-2-GAD-7-GAD-7-Continuous","1-e-couch Anxiety and Worry program ",2-Waitlist,2-GAD-7-GAD-7,Continuous,10120,4,Pretest,,Intervention,-999,127,98,,,6,6,,,3,3,,,4.85,4.34,,,5.01,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-2-GAD-7-GAD-7-Continuous-0","1-e-couch Anxiety and Worry program ",2-Waitlist,2-GAD-7-GAD-7,Continuous,10120,4,Post-test,0,Comparison,-999,,,78,71,,,6,6,,,3,3,,,4.20,4.25,,,4.15,3.96,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-2-GAD-7-GAD-7-Continuous-13","1-e-couch Anxiety and Worry program ",2-Waitlist,2-GAD-7-GAD-7,Continuous,10120,4,Post-test,13,Comparison,-999,,,67,61,,,6,6,,,3,3,,,4.65,4.12,,,4.56,4.96,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-3-Spence Children&rsquo;s Anxiety Scale-SCAS-GAD-Continuous","1-e-couch Anxiety and Worry program ",2-Waitlist,"3-Spence Children&rsquo;s Anxiety Scale-SCAS-GAD",Continuous,10120,4,Pretest,,Comparison,-999,127,98,,,6,6,,,3,3,,,6.25,3.69,,,5.99,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-3-Spence Children&rsquo;s Anxiety Scale-SCAS-GAD-Continuous-0","1-e-couch Anxiety and Worry program ",2-Waitlist,"3-Spence Children&rsquo;s Anxiety Scale-SCAS-GAD",Continuous,10120,4,Post-test,0,Intervention,-999,,,78,71,,,6,6,,,3,3,,,5.42,3.72,,,5.45,3.43,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-3-Spence Children&rsquo;s Anxiety Scale-SCAS-GAD-Continuous-13","1-e-couch Anxiety and Worry program ",2-Waitlist,"3-Spence Children&rsquo;s Anxiety Scale-SCAS-GAD",Continuous,10120,4,Post-test,13,Comparison,-999,,,67,61,,,6,6,,,3,3,,,5.76,3.41,,,5.18,4.05,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,"Calear, et al 2016 ",spgrant,,8,"1-e-couch Anxiety and Worry program -2-Waitlist-5-Centre for Epidemiological Studies &ndash; Depression Scale -CES-D-Continuous","1-e-couch Anxiety and Worry program ",2-Waitlist,"5-Centre for Epidemiological Studies &ndash; Depression Scale -CES-D",Continuous,10120,4,Pretest,,Comparison,-999,127,98,,,6,6,,,3,3,,,16.53,11.25,,,16.42,10.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
